OtelAdi;Lokasyon;Url
Club Titan Hotel  ;Kargıcak, Antalya;Club-Titan-Hotel
Orange County Alanya  ;Okurcalar, Antalya;Orange-County-Alanya
Hotel Carina  ;Kuşadası, Aydın;Carina-Hotel
Comfort Ada Class Hotel  ;Kuşadası, Aydın;Comfort-Ada-Class-Hotel
Asayra Thermal Hotel & Spa  ;Güzelçamlı, Aydın;Asayra-Thermal-Hotel-Spa
Akbulut Hotel & Spa  ;Güzelçamlı, Aydın;Akbulut-Hotel-Spa
Faustina Hotel Kusadasi;Güzelçamlı, Aydın;Faustina-Hotel-Kusadasi
MC Arancia Resort Hotel  ;Konaklı, Antalya;Mc-Arancia-Resort-Hotel
Anjeliq House Hotel  ;Alanya Merkez, Antalya;Anjeliq-House-Hotel
Şifalar Apart Hotel  ;Alanya Merkez, Antalya;Sifalar-Apart-Hotel
